tick,flight_id,origin,destination,phase,altitude,delay
20,FL011,KGEG,KOLM,Cruise,35000,4
20,FL012,KTTD,KBFI,Descent,15000,2
20,FL013,KGEG,KTTD,Cruise,35000,6
20,FL014,KEUG,KTTD,Descent,15000,4
21,FL000,KTTD,KEUG,Approach,3000,0
21,FL001,KPDX,KBFI,Approach,3000,0
21,FL002,KPDX,KRNT,Descent,15000,2
21,FL003,KGEG,KRNT,Descent,15000,0
21,FL004,KRNT,KSEA,Approach,3000,0
21,FL005,KEUG,KRNT,Descent,15000,0
21,FL006,KPAE,KBOI,Approach,3000,0
21,FL007,KSEA,KGEG,Approach,3000,0
21,FL008,KSEA,KGEG,Approach,3000,2
21,FL009,KEUG,KBFI,Approach,3000,2
21,FL010,KGEG,KRNT,Descent,15000,2
21,FL011,KGEG,KOLM,Cruise,35000,4
21,FL012,KTTD,KBFI,Descent,15000,2
21,FL013,KGEG,KTTD,Cruise,35000,6
21,FL014,KEUG,KTTD,Descent,15000,4
22,FL000,KTTD,KEUG,Approach,3000,0
22,FL001,KPDX,KBFI,Approach,3000,0
22,FL002,KPDX,KRNT,Descent,15000,2
22,FL003,KGEG,KRNT,Approach,3000,0
22,FL004,KRNT,KSEA,Approach,3000,0
22,FL005,KEUG,KRNT,Descent,15000,0
22,FL006,KPAE,KBOI,Approach,3000,0
22,FL007,KSEA,KGEG,Approach,3000,0
22,FL008,KSEA,KGEG,Approach,3000,2
22,FL009,KEUG,KBFI,Approach,3000,2
22,FL010,KGEG,KRNT,Descent,15000,2
22,FL011,KGEG,KOLM,Cruise,35000,4
22,FL012,KTTD,KBFI,Approach,3000,2
22,FL013,KGEG,KTTD,Cruise,35000,6
22,FL014,KEUG,KTTD,Approach,3000,4
23,FL000,KTTD,KEUG,Approach,3000,0
23,FL001,KPDX,KBFI,Approach,3000,0
23,FL002,KPDX,KRNT,Descent,15000,2
23,FL003,KGEG,KRNT,Approach,3000,0
23,FL004,KRNT,KSEA,Approach,3000,0
23,FL005,KEUG,KRNT,Approach,3000,0
23,FL006,KPAE,KBOI,Approach,3000,0
23,FL007,KSEA,KGEG,Approach,3000,0
